threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.3416161616161616,0.00907032041585058,-0.37580310314526716,0.0
0.3465656565656566,0.00874051872650385,-0.38622424274244105,0.0
0.3515151515151515,0.008020443741029247,-0.39680445892536637,0.0
0.3564646464646465,0.00793186328325374,-0.40754742211597117,0.0
0.3614141414141414,0.007817604395097894,-0.41845691652971395,0.0
0.36636363636363634,0.007710490107850604,-0.4295368446199348,0.0
0.3713131313131313,0.007503570577348219,-0.44079123173214196,0.0
0.37626262626262624,0.0069914183063363965,-0.45222423097989506,0.0
0.3812121212121212,0.006770350238804098,-0.46384012835469346,0.0
0.38616161616161615,0.006459560651446351,-0.47564334808307585,0.0
0.3911111111111111,0.006013093108853734,-0.4876384582449985,0.0
0.39606060606060606,0.005570921277134745,-0.4998301766684815,0.0
0.401010101010101,0.00543174787532247,-0.5122233771165011,0.0
0.40595959595959596,0.004717315075497954,-0.5248230957831749,0.0
0.4109090909090909,0.004436424230390382,-0.53763453811743,0.0
0.41585858585858587,0.003986724374496023,-0.5506630859935764,0.0
0.4208080808080808,0.0033440095247554884,-0.563914305249538,0.0
0.4257575757575757,0.002564467398729748,-0.5773939536149255,0.0
0.4307070707070707,0.002319973482180486,-0.5911079890526706,0.0
0.43565656565656563,0.0016116232455428107,-0.605062578539619,0.0
0.4406060606060606,0.0011530594673491792,-0.6192641073132632,0.0
0.44555555555555554,0.0007264213068205158,-0.6337191886137459,0.0
0.4505050505050505,0.00045100821785667907,-0.6484346739523625,0.0
0.45545454545454545,0.000279162843149178,-0.6634176639400577,0.0
0.46040404040404037,0.0,-0.6786755197118777,0.0
0.46535353535353535,0.0,-0.6942158749859914,0.0
0.4703030303030303,0.0,-0.7100466487987892,0.0
0.47525252525252526,0.0,-0.7261760589607029,0.0
0.4802020202020202,0.0,-0.7426126362807718,0.0
0.4851515151515151,0.0,-0.7593652396117032,0.0
0.4901010101010101,0.0,-0.7764430717711672,0.0
0.495050505050505,0.0,-0.79385569639945,0.0
0.5,0.0,-0.8116130558183539,0.0
